Date,Observed,Predicted
2009-04-02,0.1,-0.4827463027222022
2009-04-13,0.31,-0.5119306965817813
2009-05-12,-1.6,-1.5727474984975511
2009-05-21,-1.75,-1.4528951223674273
2009-05-23,-1.13,-1.1740402836168664
2009-05-27,-1.58,-1.231270288573658
2009-05-28,-1.82,-1.2853501102069396
2009-06-10,-1.04,-0.992632725600664
2009-06-20,-1.34,-1.3100595075438275
2009-06-23,-1.4,-1.3142750581744798
2009-07-15,-1.57,-1.242882207995937
2009-08-11,-1.49,-1.1759675498667554
2009-08-15,-1.3,-1.0167501497608393
2009-08-16,-1.36,-0.959423139021566
2009-09-16,-1.23,-1.3331423872774462
2009-09-21,-1.85,-1.322163569641803
2009-09-25,-1.59,-1.4233303908196178
2009-10-05,-0.89,-1.0696182934237042
2009-10-07,-1.27,-1.2989655980726602
2009-10-16,-1.55,-1.629937847069371
2009-10-21,-1.42,-1.7026172392007186
2009-10-30,-1.81,-1.3659142147348977
2009-11-11,-1.92,-1.8811073718556008
2009-11-22,-1.06,-0.9289276550765959
2009-12-05,-1.66,-1.778172932148979
2009-12-25,-1.86,-1.832081367565491
2009-12-27,-1.64,-1.8206773605358706
2010-01-01,-1.95,-1.531781141398208
2010-02-10,-1.62,-1.33527573363375
2010-02-15,-1.43,-1.3573380974030576
2010-03-01,-1.04,-1.0554990200844825
2010-03-09,-1.28,-1.0500003933585318
2010-03-16,-0.82,-1.0500003933585318
2010-03-25,-0.63,-0.9374088720167257
2010-03-26,-0.64,-0.7899080848209304
2010-04-25,-1.2,-0.9884813852396692
2010-04-28,-1.41,-1.2258478411323668
2010-05-02,-1.3,-1.0685237574264452
2010-05-08,-1.48,-1.2092310392625487
2010-05-16,-1.28,-1.2092310392625487
2010-06-14,-1.16,-1.12144646578432
2010-06-27,-1.41,-1.0828542006913602
2010-06-30,-1.14,-1.284046349584241
2010-07-06,-0.89,-0.9039653602023268
2010-07-07,-1.2,-0.9387119496698719
2010-07-17,-0.52,-1.0415985600683377
2010-07-20,-0.79,-0.9290429020319513
2010-08-23,-0.62,-0.9047108509932765
