Date,SP15,Congestion,Loss,MEC
4/1/2009,28.01,0.86,-0.20,27.35
4/2/2009,25.40,3.52,0.10,21.79
4/3/2009,26.41,0.00,-0.59,27.00
4/4/2009,27.58,2.58,-0.48,25.48
4/5/2009,28.74,4.20,-0.06,24.60
4/6/2009,32.60,3.18,0.19,29.23
4/7/2009,23.79,0.00,-0.77,24.55
4/8/2009,25.48,2.26,-0.30,23.53
4/9/2009,25.85,1.81,-0.16,24.21
4/10/2009,23.72,0.00,0.29,23.43
4/11/2009,22.49,0.00,-0.05,22.54
4/12/2009,15.66,0.00,-0.14,15.79
4/13/2009,22.09,7.01,0.31,14.78
4/14/2009,25.93,-0.09,0.98,25.05
4/15/2009,26.86,-2.22,0.39,28.68
4/16/2009,22.62,0.08,0.48,22.05
4/17/2009,26.92,0.00,0.19,26.74
4/18/2009,24.22,0.00,-1.18,25.40
4/19/2009,22.46,0.30,-0.10,22.27
4/20/2009,26.26,-0.22,-1.45,27.93
4/21/2009,30.39,-0.01,-1.53,31.93
4/22/2009,28.19,-0.20,-1.50,29.89
4/23/2009,24.48,1.17,-0.95,24.26
4/24/2009,22.65,0.00,-0.98,23.62
4/25/2009,16.63,0.00,-0.86,17.48
4/26/2009,16.79,0.00,-0.84,17.63
4/27/2009,19.92,-0.04,-0.91,20.87
4/28/2009,22.60,-0.10,-1.36,24.06
4/29/2009,23.61,-0.05,-1.06,24.72
4/30/2009,29.52,-0.04,-1.36,30.92
5/1/2009,23.26,-0.24,-1.59,25.09
5/2/2009,22.89,-9.13,-2.01,34.04
5/3/2009,24.53,-0.03,-1.45,26.01
5/4/2009,25.39,0.00,-1.31,26.70
5/5/2009,26.07,-0.21,-1.33,27.61
5/6/2009,27.46,-0.08,-1.32,28.86
5/7/2009,28.88,0.43,-1.26,29.70
5/8/2009,37.00,0.40,-1.36,37.96
5/9/2009,32.27,0.26,-1.24,33.25
5/10/2009,30.43,0.00,-1.53,31.96
5/11/2009,35.33,0.00,-2.09,37.42
5/12/2009,31.46,0.21,-1.60,32.85
5/13/2009,33.06,0.00,-1.73,34.78
5/14/2009,33.10,-0.01,-1.65,34.76
5/15/2009,34.33,0.01,-1.64,35.96
5/16/2009,37.30,-0.49,-2.25,40.04
5/17/2009,28.07,0.05,0.03,28.00
5/18/2009,37.29,-3.14,0.28,40.16
5/19/2009,33.23,-0.79,-1.72,35.73
5/20/2009,31.15,0.00,-1.72,32.87
5/21/2009,30.14,-0.09,-1.75,31.98
5/22/2009,27.87,-0.47,-1.64,29.98
5/23/2009,19.55,0.00,-1.13,20.67
5/24/2009,11.22,0.00,-0.61,11.82
5/25/2009,11.33,0.00,-0.60,11.93
5/26/2009,20.51,-0.07,-1.27,21.85
5/27/2009,25.75,-0.04,-1.58,27.37
5/28/2009,27.11,-0.66,-1.82,29.58
5/29/2009,25.14,-1.58,-1.71,28.44
5/30/2009,17.75,-1.73,-1.17,20.66
5/31/2009,10.78,-1.75,-0.76,13.29
6/1/2009,22.85,0.00,-1.23,24.08
6/2/2009,21.68,0.00,-1.03,22.70
6/3/2009,20.79,0.00,-0.89,21.67
6/4/2009,23.68,0.00,-1.02,24.70
6/5/2009,18.49,0.00,-0.87,19.36
6/6/2009,14.46,0.00,-0.65,15.11
6/7/2009,14.92,0.00,-0.68,15.60
6/8/2009,17.45,0.00,-1.08,18.53
6/9/2009,17.47,0.00,-0.93,18.40
6/10/2009,17.72,0.00,-1.04,18.76
6/11/2009,17.40,0.00,-1.01,18.42
6/12/2009,21.70,0.00,-1.14,22.84
6/13/2009,21.04,0.00,-1.14,22.19
6/14/2009,21.56,0.00,-1.39,22.95
6/15/2009,25.05,0.00,-1.42,26.46
6/16/2009,23.54,-0.33,-1.59,25.46
6/17/2009,26.20,0.00,-1.50,27.70
6/18/2009,24.79,-0.11,-1.67,26.56
6/19/2009,27.08,0.00,-1.39,28.47
6/20/2009,23.61,0.00,-1.34,24.94
6/21/2009,22.53,0.00,-1.37,23.90
6/22/2009,23.96,0.00,-1.49,25.46
6/23/2009,26.70,0.00,-1.40,28.10
6/24/2009,24.40,0.00,-1.49,25.89
6/25/2009,25.63,0.00,-1.31,26.94
6/26/2009,26.63,0.00,-1.59,28.22
6/27/2009,29.62,0.26,-1.91,31.27
6/28/2009,28.46,0.00,-1.91,30.36
6/29/2009,32.86,-0.01,-2.38,35.25
6/30/2009,32.58,0.00,-2.22,34.81
7/1/2009,31.79,0.00,-1.56,33.36
7/2/2009,30.69,0.00,-1.43,32.12
7/3/2009,27.29,0.00,-1.38,28.67
7/4/2009,27.25,0.00,-1.48,28.73
7/5/2009,25.19,0.00,-1.10,26.29
7/6/2009,27.91,-0.08,-0.86,28.85
7/7/2009,26.37,-0.01,-0.69,27.07
7/8/2009,24.23,0.00,-0.77,25.01
7/9/2009,28.22,0.00,-1.13,29.35
7/10/2009,28.67,0.00,-0.94,29.60
7/11/2009,26.56,-0.01,-0.91,27.48
7/12/2009,27.37,-0.13,-0.87,28.37
7/13/2009,30.28,-0.02,-0.93,31.23
7/14/2009,34.62,0.00,-1.42,36.03
7/15/2009,33.93,0.00,-1.57,35.50
7/16/2009,36.04,0.00,-1.52,37.56
7/17/2009,33.47,0.00,-1.38,34.85
7/18/2009,34.17,0.00,-1.42,35.59
7/19/2009,33.73,0.00,-1.56,35.28
7/20/2009,37.58,0.00,-1.16,38.73
7/21/2009,37.78,-0.01,-1.13,38.91
7/22/2009,37.65,-0.04,-1.14,38.83
7/23/2009,36.22,0.00,-1.05,37.27
7/24/2009,37.03,0.00,-1.09,38.12
7/25/2009,37.16,0.00,-0.89,38.05
7/26/2009,68.78,-0.04,-1.35,70.17
7/27/2009,42.92,0.28,-1.27,43.90
7/28/2009,33.31,0.03,-1.19,34.48
7/29/2009,32.86,-0.02,-1.27,34.15
7/30/2009,33.27,-0.02,-1.30,34.59
7/31/2009,33.99,0.04,-1.17,35.13
8/1/2009,33.18,0.00,-1.10,34.28
8/2/2009,32.70,1.31,-1.12,32.52
8/3/2009,33.32,0.00,-0.79,34.10
8/4/2009,33.36,0.00,-0.81,34.17
8/5/2009,34.52,0.01,-0.83,35.34
8/6/2009,32.08,0.00,-0.93,33.01
8/7/2009,32.99,0.00,-1.04,34.03
8/8/2009,31.36,-0.01,-1.20,32.57
8/9/2009,32.87,-0.04,-1.65,34.55
8/10/2009,37.16,-0.02,-1.61,38.79
8/11/2009,35.71,0.00,-1.49,37.21
8/12/2009,34.28,0.00,-1.36,35.65
8/13/2009,34.49,0.00,-1.27,35.76
8/14/2009,31.96,-0.03,-1.20,33.19
8/15/2009,27.68,0.00,-1.30,28.98
8/16/2009,26.83,-0.01,-1.36,28.19
8/17/2009,33.29,0.00,-1.21,34.50
8/18/2009,31.10,0.00,-1.22,32.33
8/19/2009,31.44,-0.02,-1.32,32.78
8/20/2009,29.47,0.00,-1.11,30.59
8/21/2009,30.45,-0.04,-1.12,31.61
8/22/2009,28.45,0.00,-1.00,29.46
8/23/2009,24.98,0.00,-1.02,26.00
8/24/2009,26.90,0.26,-0.90,27.54
8/25/2009,26.61,0.00,-0.84,27.45
8/26/2009,29.67,0.11,-0.91,30.47
8/27/2009,29.85,0.00,-0.99,30.84
8/28/2009,31.40,-0.01,-1.11,32.52
8/29/2009,30.03,-0.01,-0.96,31.00
8/30/2009,27.56,-0.01,-1.05,28.62
8/31/2009,30.57,0.04,-0.91,31.45
9/1/2009,29.79,-0.06,-1.15,30.99
9/2/2009,31.05,-0.08,-1.19,32.32
9/3/2009,30.59,-0.43,-1.18,32.20
9/4/2009,26.94,-0.08,-1.13,28.15
9/5/2009,25.45,0.00,-0.98,26.43
9/6/2009,25.41,-0.24,-0.84,26.49
9/7/2009,22.15,0.00,-0.90,23.05
9/8/2009,24.90,-0.33,-1.05,26.28
9/9/2009,26.30,-1.87,-1.37,29.55
9/10/2009,30.83,-0.68,-1.37,32.88
9/11/2009,33.22,-1.05,-1.73,36.00
9/12/2009,32.25,-0.73,-1.49,34.47
9/13/2009,30.18,-0.43,-1.22,31.83
9/14/2009,31.16,-1.13,-1.49,33.78
9/15/2009,32.62,-0.39,-1.49,34.50
9/16/2009,35.39,-0.16,-1.23,36.78
